Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Alcabnani S., Oubezza M., Elkafi J.","57214147139;57214145366;6506166416;","An approach for the implementation of semantic Big Data Analytics in the Social Business Intelligence process on distributed environments (Cloud computing)",2019,"ACM International Conference Proceeding Series",,,,"","",,1,"10.1145/3372938.3373003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117539016&doi=10.1145%2f3372938.3373003&partnerID=40&md5=c084ea69fb9a50bd90682adb5a73a0f8","Computer Science dept, Faculty of Sciences, Chouaib Doukkali University, ElJadida, Morocco","Alcabnani, S., Computer Science dept, Faculty of Sciences, Chouaib Doukkali University, ElJadida, Morocco; Oubezza, M., Computer Science dept, Faculty of Sciences, Chouaib Doukkali University, ElJadida, Morocco; Elkafi, J., Computer Science dept, Faculty of Sciences, Chouaib Doukkali University, ElJadida, Morocco","Managing and extracting useful knowledge from social media sources is a challenge. It has attracted a lot of attention from universities and industry. To meet this challenge, semantic analysis of textual data is the subject matter. Today, with the connection present everywhere and at any time, considerable data is born. These data or data become a key player for understanding, analyzing, anticipating and solving major economic, political, social and scientific problems. Data also changes our working procedures, our cultural environment, even restructuring our way of thinking. And just as the scientific, managerial and financial world is interested in Big Data, a new discipline is growing: Fast Data. In addition to the salient volume of data; another variant becomes decisive, the ability to efficiently process data in all their diversity, transforming it into knowledge by providing the right information to the right person at the right time, or even using it to predict the future. The exploitation of Big Data requires the proposition of new adapted mathematical and IT approaches but also a reengineering of managerial approaches for the control of the informational environment of a public or private organization. While basing itself on a strategic information management approach such as Economic Intelligence (EI). The latter combines and encompasses Business Intelligence techniques for internal data management and business intelligence techniques for monitoring and controlling external information flows. However, Big Data, as a boundless source of information for EI, has upset the traditional EI process, which requires a reengineering of the EI approach. My research works perfectly in this context characterized by an uncertain and unpredictable environment. We ask to propose an ontology-based, service-oriented, agile and scalable Social Business Intelligence approach to extract the semantics of textual data and define the domain of massive data. In other words, we semantically analyze social data at two levels, namely the level of the entity and the level of the domain. © 2019 Association for Computing Machinery.","Big Data; Cloud; Distributed Processing; Fast Data; Ontology; Social BI","Advanced Analytics; Big data; Clouds; Data Analytics; Data handling; Information management; Internet of things; Managers; Metadata; Ontology; Reengineering; Semantics; Distributed environments; Distributed processing; External informations; Fast Data; Monitoring and controlling; Private organizations; Strategic information management; Unpredictable environments; Data mining",,,"Association for Computing Machinery",,9781450372404,,,"English","ACM Int. Conf. Proc. Ser.",Conference Paper,"Final","",Scopus,2-s2.0-85117539016
"Shahin M., Chen F.F., Bouzary H., Krishnaiyer K.","57211047195;24343101400;55899558000;12804665300;","Integration of Lean practices and Industry 4.0 technologies: smart manufacturing for next-generation enterprises",2020,"International Journal of Advanced Manufacturing Technology","107","5-6",,"2927","2936",,78,"10.1007/s00170-020-05124-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082950987&doi=10.1007%2fs00170-020-05124-0&partnerID=40&md5=eb782593dbf445382b33e9a6bc407675","Department of Mechanical Engineering, The University of Texas at San Antonio, one UTSA circle, TX78249, San Antonio, United States","Shahin, M., Department of Mechanical Engineering, The University of Texas at San Antonio, one UTSA circle, TX78249, San Antonio, United States; Chen, F.F., Department of Mechanical Engineering, The University of Texas at San Antonio, one UTSA circle, TX78249, San Antonio, United States; Bouzary, H., Department of Mechanical Engineering, The University of Texas at San Antonio, one UTSA circle, TX78249, San Antonio, United States; Krishnaiyer, K., Department of Mechanical Engineering, The University of Texas at San Antonio, one UTSA circle, TX78249, San Antonio, United States","Industry 4.0 technologies have attempted to transform current industrial settings to a level that we have never seen before. While at the same time, prevailing applications of Lean tools and techniques over the last 20 years have already dramatically reduced wastes ranging from shop floor production to cross-functional enterprise processes. This paper aims to provide a comprehensive review and report on links between Lean tools and Industry 4.0 technologies, and on how simultaneous implementation of these two paradigms affects the operational performance of factories. The existing and potential enhancements of Lean practices enabled by Industry 4.0 technologies such as wireless networks, big data, cloud computing, and virtual reality (VR) will also be explored. A cloud-based Kanban decision support system is also presented as a real-world demonstrator for integration of an Industry 4.0 technology (cloud computing) and a major Lean tool (Kanban). © 2020, Springer-Verlag London Ltd., part of Springer Nature.","Cloud Kanban; Industry 4.0; Lean tools; Smart factory","Artificial intelligence; Cloud computing; Decision support systems; Lean production; Cloud-based; Cross-functional; Industrial settings; Lean practices; Lean tools; Operational performance; Shop-floor production; Smart manufacturing; Industry 4.0","Chen, F.F.; Department of Mechanical Engineering, TX78249, United States; email: ff.chen@utsa.edu",,"Springer",02683768,,IJATE,,"English","Int J Adv Manuf Technol",Article,"Final","",Scopus,2-s2.0-85082950987
"Kohl P., Schmidts O., Klöser L., Werth H., Kraft B., Zündorf A.","57226529699;57209339552;57226534357;57264891800;57213973214;56000503100;","STAMP 4 NLP – An Agile Framework for Rapid Quality-Driven NLP Applications Development",2021,"Communications in Computer and Information Science","1439 CCIS",,,"156","166",,,"10.1007/978-3-030-85347-1_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115254981&doi=10.1007%2f978-3-030-85347-1_12&partnerID=40&md5=9933480e60447114aeca7b66f5aeea7b","FH Aachen - University of Applied Sciences, Jülich, 52428, Germany; University of Kassel, Kassel, 34127, Germany","Kohl, P., FH Aachen - University of Applied Sciences, Jülich, 52428, Germany; Schmidts, O., FH Aachen - University of Applied Sciences, Jülich, 52428, Germany; Klöser, L., FH Aachen - University of Applied Sciences, Jülich, 52428, Germany; Werth, H., FH Aachen - University of Applied Sciences, Jülich, 52428, Germany; Kraft, B., FH Aachen - University of Applied Sciences, Jülich, 52428, Germany; Zündorf, A., University of Kassel, Kassel, 34127, Germany","The progress in natural language processing (NLP) research over the last years, offers novel business opportunities for companies, as automated user interaction or improved data analysis. Building sophisticated NLP applications requires dealing with modern machine learning (ML) technologies, which impedes enterprises from establishing successful NLP projects. Our experience in applied NLP research projects shows that the continuous integration of research prototypes in production-like environments with quality assurance builds trust in the software and shows convenience and usefulness regarding the business goal. We introduce STAMP 4 NLP as an iterative and incremental process model for developing NLP applications. With STAMP 4 NLP, we merge software engineering principles with best practices from data science. Instantiating our process model allows efficiently creating prototypes by utilizing templates, conventions, and implementations, enabling developers and data scientists to focus on the business goals. Due to our iterative-incremental approach, businesses can deploy an enhanced version of the prototype to their software environment after every iteration, maximizing potential business value and trust early and avoiding the cost of successful yet never deployed experiments. © 2021, Springer Nature Switzerland AG.","Avoiding pitfalls; Best practices; Machine learning; Natural language processing; Process model; Quality assurance","Data Science; Quality assurance; Software prototyping; Applications development; Business opportunities; Continuous integrations; Incremental approach; Incremental process; NAtural language processing; Software engineering principles; Software environments; Natural language processing systems","Kohl, P.; FH Aachen - University of Applied SciencesGermany; email: p.kohl@fh-aachen.de","Paiva A.C.R.Cavalli A.R.Ventura Martins P.Perez-Castillo R.","Springer Science and Business Media Deutschland GmbH",18650929,9783030853464,,,"English","Commun. Comput. Info. Sci.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85115254981
"Debroy V., Miller S., Blake M., Hibbard A., Beavers C.","35188531500;57205023399;57871877700;57871946000;57871743200;","Log Sinks and Big Data Analytics along with User Experience Monitoring to Tell a Fuller Story",2022,"Proceedings of the International Conference on Software Engineering and Knowledge Engineering, SEKE",,,,"253","256",,,"10.18293/SEKE2022-175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137153344&doi=10.18293%2fSEKE2022-175&partnerID=40&md5=7cd217b7bc69b191167e17d29bccbaf8","Product and Development, Dottid, Dallas, TX, United States","Debroy, V., Product and Development, Dottid, Dallas, TX, United States; Miller, S., Product and Development, Dottid, Dallas, TX, United States; Blake, M., Product and Development, Dottid, Dallas, TX, United States; Hibbard, A., Product and Development, Dottid, Dallas, TX, United States; Beavers, C., Product and Development, Dottid, Dallas, TX, United States","Understanding and continually improving the user experience is critical to the success of web applications, especially those that are business-driven. There exist a multitude of tools to monitor user activities on a website, which then provide metrics to help developers and company leadership understand where their users experience pain-points. However, all tools suffer from their own limitations and ultimately it is important for companies to have as much control (as possible) over all data collected by third-party tools, and be able to make decisions related to its storage, retention, processing, etc., in an agile manner. At Dottid, we use a third-party tool to understand and enhance the user experience on our web application, recently however, we ran into a problem regarding failed logins that required us to architect a solution ourselves, since the tool cannot address this issue for us. The solution leverages log collection and big data analytics and its architecture has paved the way for us to build more actionable insights than if we were using the tool as-is. We transparently share our experiences, and the details of our solution and rationale, with the goal of benefiting others, and promoting further industry-academic collaboration, in this space. © 2022 Knowledge Systems Institute Graduate School. All rights reserved.","Analytics; Big Data; Logging; Monitoring; Software","Data Analytics; Digital storage; Knowledge engineering; Software engineering; Analytic; Data analytics; ITS architecture; Logging; Software; Third-party tools; User activity; Users' experiences; WEB application; Web applications; Big data",,,"Knowledge Systems Institute Graduate School",23259000,1891706543; 9781891706547,,,"English","Proc. Int. Conf. Softw. Eng. Knowl. Eng., SEKE",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85137153344
"Rajab S., Afy-Shararah M., Salonitis K.","57226058408;57203657099;6507869506;","Using Industry 4.0 Capabilities for Identifying and Eliminating Lean Wastes",2022,"Procedia CIRP","107",,,"21","27",,3,"10.1016/j.procir.2022.04.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132282459&doi=10.1016%2fj.procir.2022.04.004&partnerID=40&md5=3bf01ec7c6dc2615809a587e16d6b849","Sustainable Manufacturing Systems Centre, Cranfield University, Bedford, MK43 0AL, United Kingdom","Rajab, S., Sustainable Manufacturing Systems Centre, Cranfield University, Bedford, MK43 0AL, United Kingdom; Afy-Shararah, M., Sustainable Manufacturing Systems Centre, Cranfield University, Bedford, MK43 0AL, United Kingdom; Salonitis, K., Sustainable Manufacturing Systems Centre, Cranfield University, Bedford, MK43 0AL, United Kingdom","This paper conducts a review of the literature to identify associations in operations between Industry 4.0 capabilities such as Additive Manufacturing, Augmented Reality, Autonomous Robots, Big Data, Cloud Computing, IIoT, Simulation, and Systems Integration wit h the commonly identified lean manufacturing wastes of Trans port, Inventory, Movement, Waiting, Overproduction, Overprocessing, Defects, and Underutilized skills. The paper documents research that links various capabilities and wastes, including how IIoT can be used to reduce defects in manufacturing, and how it can mitigate overproduction across industries. There is also evidence that big data implementation in manufacturing has positive effects on reducing waiting times across the manufacturing process and delivery, and that cloud computing techno logies guarantee better estimates for product and predicted inventory amounts. The research finds impacts on the social aspect of manufacturing by how augmented reality tools are increasingly used in the manufacturing sector to improve workers' knowledge, skills, and abili ties, and that simulation software applications are capable of decreasing operator motion wastes. The paper concludes that there is a clear benefit for SMEs in using Industry 4.0 in lean implementation journeys, and it supports the efforts of manufacturing organizations to become leaner using Industry 4.0 capabilities and solutions. © 2022 The Authors. Published by Elsevier B.V.","Industry 4.0; Lean Manufacturing; Operations Management; Wastes","Agile manufacturing systems; Application programs; Augmented reality; Big data; Cloud computing; Defects; Industrial research; Industry 4.0; Social aspects; Wastes; Cloud-computing; Data clouds; Data implementation; Lean wastes; Manufacturing wastes; Operation management; Paper documents; Simulation integration; System integration; Waiting time; Lean production","Afy-Shararah, M.; Sustainable Manufacturing Systems Centre, United Kingdom; email: M.A.Shararah@Cranfield.ac.uk","Valente A.Carpanzano E.Boer C.","Elsevier B.V.",22128271,,,,"English","Procedia CIRP",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85132282459
"Gunkel T., Vandenberghe B.","57207861879;57207861545;","Artificial Intelligence for Media Operations Why AI algorithms will become a must for every network management system",2019,"SMPTE 2018",,,"8609872","","",,,"10.5594/M001813","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063083289&doi=10.5594%2fM001813&partnerID=40&md5=cfc2463328590c02464b7d7f7f7ceb2c","Skyline Communications, United States","Gunkel, T., Skyline Communications, United States; Vandenberghe, B., Skyline Communications, United States","Artificial intelligence already has a big impact on a lot of different segments in the media industry. With the broadcast industry moving to all-IP and data center deployments those environments are more agile and complex than ever before. With fast-evolving technologies and cycles, ever more mission critical systems and constantly changing operational practices and devops style operations, traditional network management systems (NMS) and their paradigms don't fit the bill anymore. This paper explores why machine-learning algorithms must find their way into network monitoring and management solutions to orchestrate a modern media data center dynamically and in a proactive way. The foundation for an AI-driven NMS platform is a solid big data storage architecture; a lack of profound data and data hygiene is often one of the biggest obstacles to successfully deploy big data projects. As in today's all-IP environments nothing is static anymore, an AI entity must be highly intelligent. Unsupervised learning is key to automatically adapt to changing environments. Augmented operation and a zero-configuration and zero-maintenance approach will be crucial to successfully deploy the right management strategy. © 2018 Society of Motion Picture and Television Engineers, Inc.","advanced analytics; artificial intelligence; augmented operation; deep root cause analysis; forecasting; incident detection; intelligent fault detection; machine learning; NMS","Advanced Analytics; Artificial intelligence; Big data; Digital storage; Fault detection; Forecasting; Internet protocols; Learning algorithms; Learning systems; Machine learning; Network management; augmented operation; Changing environment; Deep roots; Incident detection; Maintenance approaches; Mission critical systems; Network management systems; Operational practices; Information management",,,"Institute of Electrical and Electronics Engineers Inc.",,9781614829607,,,"English","SMPTE",Conference Paper,"Final","",Scopus,2-s2.0-85063083289
"Martinez A., Melin M., Koutsopoulos G., Zdravkovic J.","57385722800;57384333500;57194614835;22434306700;","An Empirical Study on Data-driven Requirements Elicitation: Reflections from Nordic Enterprises",2021,"CEUR Workshop Proceedings","3045",,,"39","48",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121677414&partnerID=40&md5=1afef275483717e0dddbe3fe39640347","Nexer Group AB, Valhallavägen 117G, Stockholm, 11553, Sweden; Department of Computer and Systems Sciences, Stockholm University, Borgarfjordsgatan 12, Kista, Stockholm, 16407, Sweden","Martinez, A., Nexer Group AB, Valhallavägen 117G, Stockholm, 11553, Sweden; Melin, M., Department of Computer and Systems Sciences, Stockholm University, Borgarfjordsgatan 12, Kista, Stockholm, 16407, Sweden; Koutsopoulos, G., Department of Computer and Systems Sciences, Stockholm University, Borgarfjordsgatan 12, Kista, Stockholm, 16407, Sweden; Zdravkovic, J., Department of Computer and Systems Sciences, Stockholm University, Borgarfjordsgatan 12, Kista, Stockholm, 16407, Sweden","There is a plethora of digital data sources that may be exploited for collecting requirements for system development and evolution. In contrast to human sources, i.e. stakeholders, digital sources continuously generate data that is often not originally created for the purposes of requirements elicitation, e.g. on forums, microblogs, machine-generated trace logs, and sensor data. Streams of large volumes of data can be exploited to enable automation of a continuous requirements elicitation process using AI techniques that combine natural language or machine data processing, with machine learning. On the other hand, the complex characteristics of big data due to its size, lack of structure, high dynamics, and low predictability, present numerous challenges on the process of extracting requirements-related information that would be of a clear value for companies. The purpose of this interview study was to, from the practitioners' perspective, elicit their overall expectations and needs for a method for the elicitation of system requirements from digital data sources. Semi-structured interviews were conducted with several industrial experts from different business domains and the collected empirical data has been analyzed using thematic analysis. The results lead to the identification of a set of high-level requirements related to the method for the elicitation from digital data sources. © 2021 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).","Agile requirements engineering; Big data; Data-driven requirements engineering; Enterprise modeling; Requirements elicitation","Big data; Data handling; Natural language processing systems; Agile requirement engineering; Agile requirements; Data driven; Data-driven requirement engineering; Data-source; Digital datas; Enterprise models; Requirement engineering; Requirements elicitation; Requirements engineering",,"Barn B.Sandkuhl K.Asensio E.S.Stirna J.","CEUR-WS",16130073,,,,"English","CEUR Workshop Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85121677414
"Ko B., Kraczek B., Salonidis T., Basu P., Chan K.S., Porta T.L., Martens A.","55651786900;35146091000;55917823300;7202020165;55420279000;7004716682;57203005423;","Physics-inspired models for agile code and data in federated edges",2018,"2017 IEEE SmartWorld Ubiquitous Intelligence and Computing, Advanced and Trusted Computed, Scalable Computing and Communications, Cloud and Big Data Computing, Internet of People and Smart City Innovation, SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI 2017 - Conference Proceedings",,,,"1","6",,,"10.1109/UIC-ATC.2017.8397418","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050178851&doi=10.1109%2fUIC-ATC.2017.8397418&partnerID=40&md5=bd1db19d7806a73ab7e3d126169961e1","IBM T. J. Watson Research, United States; US Army Research Laboratory, United States; Raytheon BBN Technologies, United States; Penn State University, United States; IBM United Kingdom, United Kingdom","Ko, B., IBM T. J. Watson Research, United States; Kraczek, B., US Army Research Laboratory, United States; Salonidis, T., IBM T. J. Watson Research, United States; Basu, P., Raytheon BBN Technologies, United States; Chan, K.S., US Army Research Laboratory, United States; Porta, T.L., Penn State University, United States; Martens, A., IBM United Kingdom, United Kingdom","We study the problem of flexibly, dynamically, and adaptively moving, positioning, and instantiating computing tasks and data in federated, distributed edge systems. We call this process 'agile code and agile data' (ACAD). We explore the adaptation of physics-inspired models, used for atomistic simulations, to the ACAD problem, treating the code and data as particles on a graph, interacting through different potential energy models. We discuss the mapping between the different elements of ACAD problem and our particles-on-A-graph model, considering different frameworks for data analytics. We explore gravitational, elastic and Coulombic models, both with global and local energy minimization, finding that the Coulombic model obtains the most efficient solution. © 2017 IEEE.","agile code; physical models","Codes (symbols); Distributed computer systems; Potential energy; Smart city; Ubiquitous computing; agile code; Atomistic simulations; Computing-task; Data analytics; Graph model; Local energy; Physical model; Big data",,,"Institute of Electrical and Electronics Engineers Inc.",,9781538604342,,,"English","IEEE SmartWorld Ubiquitous Intell. Comput., Adv. Trust. Comput., Scalable Comput. Commun., Cloud Big Data Comput., Internet People Smart City Innov., SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI - Conf. Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85050178851
"Akour M.A., Das A.","57750775000;57215925487;","Developing a virtual smart total learning environment for future teaching-learning system",2020,"Proceedings of 2020 IEEE International Conference on Teaching, Assessment, and Learning for Engineering, TALE 2020",,,"9368373","576","579",,1,"10.1109/TALE48869.2020.9368373","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102971550&doi=10.1109%2fTALE48869.2020.9368373&partnerID=40&md5=efcabdb50cd7753bab213cdc5cf24d0d","A'Sharqiyah University, Sultanate, Oman; Cotton University, India","Akour, M.A., A'Sharqiyah University, Sultanate, Oman; Das, A., Cotton University, India","The world of education system after this COVID19 pandemic will have to change its dimension to map the needs of learners. The proposed framework is focused on transforming the learning experience into two possible ways like online and on-campus learning through groundbreaking agile methodologies. The new interfaces for learners will be included like Gamification, animated tutorial etc. The framework designed here is the outcome of the e-learning experiences of the authors and it tries to add all relevant technologies with cutting-edge research to provide inspirational and transformative knowledge to learners of all ages, social status, communities who form worldwide communities of special-learners. It will rise to the occasion to use its open source technology along with the emerged technologies like IoT, 5G etc, to transcend physical and social borders. This framework is a total learning environment as it will incorporate all possible latest technologies like big data and machine learning. The e-learning system possesses features like personalized e-learning, anomaly detection, student performance monitoring, dynamic content preparations, students' satisfaction monitoring etc. The new framework will include big data, cloud applications, machine learning and artificial intelligence to make the system faster, efficient and smart. The new features will make the e-learning system based on Virtual Smart Total Learning Environment (VSTLE) more technologically sound and efficient in processing, predicting, evaluating and making storage backup. This framework is designed in such a way that the minimum human intervention will be needed for its functioning. As a result, the final output will be more accurate as compared to other e-learning systems available. © 2020 IEEE.","Adaptive learning; Big data; Learning-environment; Machine learning; Smart; Virtual","5G mobile communication systems; Anomaly detection; Big data; Computer aided instruction; Digital storage; Engineering education; Machine learning; Virtual reality; Agile Methodologies; Learning environments; Learning experiences; Open-source technology; Personalized e-learning; Student performance monitoring; Students' satisfaction; Teaching-learning systems; E-learning",,"Mitsuhara H.Goda Y.Ohashi Y.Rodrigo Ma.M.T.Shen J.Venkatarayalu N.Wong G.Yamada M.Chi-Un Lei L.","Institute of Electrical and Electronics Engineers Inc.",,9781728169422,,,"English","Proc. IEEE Int. Conf. Teach., Assess., Learn. Eng., TALE",Conference Paper,"Final","",Scopus,2-s2.0-85102971550
"Hidayati A., Budiardjo E.K., Purwandari B.","57201446053;6505807438;56716397400;","Hard and soft skills for scrum global software development teams",2020,"ACM International Conference Proceeding Series",,,,"110","114",,15,"10.1145/3378936.3378966","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081989871&doi=10.1145%2f3378936.3378966&partnerID=40&md5=61bf407d3cbb7c9cd0256f8ec5e5adfd","Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia","Hidayati, A., Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia; Budiardjo, E.K., Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia; Purwandari, B., Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia","Scrum is considered as one of the solutions to overcome problems encountered in global software development (GSD). The skills of a Scrum team largely determine the successful implementation of Scrum in a GSD project. The present study aims to identify and rank the essential skills for Scrum GSD teams. First, we identified five hard skills and five soft skills by conducting a literature study and depth interviews with a software engineering expert. Second, these skills were arranged into a questionnaire, which was then distributed to thirty undergraduate students taking software engineering subjects. The students were considered as Scrum beginners in development teams. The questionnaire data were subsequently analyzed by ranking the importance of the skills. Next, the rankings were validated in a focus group discussion (FGD) with four practitioners, two academics, one policymaker, and one representative of a relevant professional association. All members of the FGD had at least five years of experience in Scrum GSD. In the following stage, frequency analysis was employed to achieve a consensus among the experts. After that, a round table discussion was conducted to confirm the consensus. The results show that programming is the most important hard skill, while interpersonal and communication are the most important soft skills. Database expertise and leadership were identified as the least important hard and soft skills, respectively. Furthermore, the rank of these skills by importance is aligned with the nature of Scrum and GSD. Our findings can be used as a foundation to construct competencies in Scrum GSD teams. © 2020 Association for Computing Machinery.","Global Software Development; Hard Skills; Scrum GSD Team; Soft Skills","Big data; Information management; Software design; Surveys; Frequency Analysis; Global software development; Hard Skills; Professional associations; Questionnaire data; Scrum GSD Team; Soft skills; Undergraduate students; Students","Purwandari, B.; Faculty of Computer Science, Indonesia; email: bettyp@cs.ui.ac.id",,"Association for Computing Machinery",,9781450376907,,,"English","ACM Int. Conf. Proc. Ser.",Conference Paper,"Final","",Scopus,2-s2.0-85081989871
"Angelaccio M.","6603568386;","Ecopolytechnic: A sustainable and flexible e-learning system for agile smart learning scenarios",2020,"Proceedings of the 14th IADIS International Conference e-Learning 2020, EL 2020 - Part of the 14th Multi Conference on Computer Science and Information Systems, MCCSIS 2020",,,,"183","186",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101076449&partnerID=40&md5=a95af31c769fa5f0b11ae52e7523cb81","University of Rome Tor Vergata, Management Engineering Dept, Via del Politecnico 1, Rome, 00100, Italy","Angelaccio, M., University of Rome Tor Vergata, Management Engineering Dept, Via del Politecnico 1, Rome, 00100, Italy","The rapid change of technological and human-machine co-evolutionary processes due to smart working and smart industries, present several issues that are also influencing the world of e-learning systems. Nowadays is quite hard to distinguish between learning spaces/systems/organizations and working organizations especially when smart working and tele-monitoring are becoming widespread. In this work we analyze smart learning concepts that are leading to a new emerging scenario in which the distinction between learning and working activities is dynamic and in evolution. In particular we present an integrated smart learning model called EcoPolytechnic which aims to redesigns the organization model of a Polytechnic by introducing several concepts of agile learning and project-based learning. The model is built upon the notion of smart learning cell that replaces in a flexible and sustainable way the notion of set of courses and can be used in a better way in smart learning scenarios. The result is a complete and easy to be configured smart learning organization system for which a comparative analysis is carried out. The benefits in terms of innovation and adaptive learning performance are given by using agile learning analysis. © Proceedings of the 14th IADIS International Conference e-Learning 2020, EL 2020 - Part of the 14th Multi Conference on Computer Science and Information Systems, MCCSIS 2020. All rights reserved.","Agile Learning; Data Science; Smart Learning","Agile manufacturing systems; E-learning; Information systems; Information use; Adaptive learning; Co-evolutionary process; Comparative analysis; Learning organizations; Learning scenarios; Organization model; Project based learning; Tele-monitoring; Learning systems","Angelaccio, M.; University of Rome Tor Vergata, Via del Politecnico 1, Italy",,"IADIS",,9789898704177,,,"English","Proc. IADIS Int. Conf. e-Learn., EL - Part Multi Conf. Comput. Sci. Inf. Syst., MCCSIS",Conference Paper,"Final","",Scopus,2-s2.0-85101076449
"Li Y., Peyman M., Panadero J., Juan A.A., Xhafa F.","57484227500;57286196400;57201350845;56129392700;57194438063;","IoT Analytics and Agile Optimization for Solving Dynamic Team Orienteering Problems with Mandatory Visits",2022,"Mathematics","10","6","982","","",,3,"10.3390/math10060982","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127551875&doi=10.3390%2fmath10060982&partnerID=40&md5=39606be9a8814ea45f8a7a389c15a09d","Department of Computer Science, Multimedia and Telecommunication, Universitat Oberta de Catalunya, Barcelona, 08018, Spain; Department of Applied Statistics and Operations Research, Universitat Politècnica de València, Alcoy, 03801, Spain; Department of Computer Science, Universitat Politècnica de Catalunya, Barcelona, 08034, Spain","Li, Y., Department of Computer Science, Multimedia and Telecommunication, Universitat Oberta de Catalunya, Barcelona, 08018, Spain; Peyman, M., Department of Computer Science, Multimedia and Telecommunication, Universitat Oberta de Catalunya, Barcelona, 08018, Spain; Panadero, J., Department of Computer Science, Multimedia and Telecommunication, Universitat Oberta de Catalunya, Barcelona, 08018, Spain; Juan, A.A., Department of Applied Statistics and Operations Research, Universitat Politècnica de València, Alcoy, 03801, Spain; Xhafa, F., Department of Computer Science, Universitat Politècnica de Catalunya, Barcelona, 08034, Spain","Transport activities and citizen mobility have a deep impact on enlarged smart cities. By analyzing Big Data streams generated through Internet of Things (IoT) devices, this paper aims to show the efficiency of using IoT analytics, as an agile optimization input for solving real-time problems in smart cities. IoT analytics has become the main core of large-scale Internet applications, however, its utilization in optimization approaches for real-time configuration and dynamic conditions of a smart city has been less discussed. The challenging research topic is how to reach real-time IoT analytics for use in optimization approaches. In this paper, we consider integrating IoT analytics into agile optimization problems. A realistic waste collection problem is modeled as a dynamic team orienteering problem with mandatory visits. Open data repositories from smart cities are used for extracting the IoT analytics to achieve maximum advantage under the city environment condition. Our developed methodology allows us to process real-time information gathered from IoT systems in order to optimize the vehicle routing decision under dynamic changes of the traffic environments. A series of computational experiments is provided in order to illustrate our approach and discuss its effectiveness. In these experiments, a traditional static approach is compared against a dynamic one. In the former, the solution is calculated only once at the beginning, while in the latter, the solution is re-calculated periodically as new data are obtained. The results of the experiments clearly show that our proposed dynamic approach outperforms the static one in terms of rewards. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","agile optimization; big data streams; dynamic team orienteering problem; IoT analytics; smart cities; transport analytics",,"Peyman, M.; Department of Computer Science, Spain; email: mpeyman@uoc.edu
Xhafa, F.; Department of Computer Science, Spain; email: fatos@cs.upc.edu",,"MDPI",22277390,,,,"English","Mathematics",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85127551875
