"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Case study: Factors that hinder and support the adoption of Pair Programming in an agile software development company","P. Dhoodhanath; R. Quilling","School of Management, Information Technology and Governance, University of KwaZulu-Natal (eThekwini), Durban, South Africa; School of Management, Information Technology and Governance, University of KwaZulu-Natal (eThekwini), Durban, South Africa","2020 International Conference on Artificial Intelligence, Big Data, Computing and Data Communication Systems (icABCD)","1 Sep 2020","2020","","","1","7","Pair programming is the XP practice that is the least adopted in software development departments or companies; although previous research suggests there are numerous benefits that can be realised from its use. It is suggested that this practice, which involves two programmers working collaboratively on the same task and following a prescribed approach, produces high quality code, in shorter timeframes, with increased knowledge-sharing and improved developer productivity. This paper investigates the factors that support, and deter, pair programming adoption in a case study at a software development company in the eThekwini (Durban) region, South Africa. The survey and interviews indicate that the most positive influences are the support from senior and peer staff and the company's willingness to provide the necessary hardware, software and physical layout to enable the use of pair programming. The biggest challenge was the personality mix in a pair, for example introvert/extrovert pairs, where extroverts can dominate pair collaboration. This company has specific managerial guidelines and practices which are used to mitigate the challenges and provide support to, not only make pair programming a more operationally feasible option, but also reap its benefits.","","978-1-7281-6770-1","10.1109/icABCD49160.2020.9183869","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9183869","pair programming;XP (extreme programming);software developer","Programming;Software;Companies;Industries;Productivity;Agile software development;Collaboration","DP industry;groupware;programming;project management;software development management;software prototyping;software quality;source code (software)","agile software development company;XP practice;software development departments;pair programming adoption;pair collaboration;high quality code;eThekwini company;Durban region;South Africa","","","","17","IEEE","1 Sep 2020","","","IEEE","IEEE Conferences"
"Electrically Small, Planar, Frequency-Agile, Beam-Switchable Huygens Dipole Antenna","Z. Wu; M. -C. Tang; R. W. Ziolkowski","Key Laboratory of Dependable Service Computing in Cyber Physical Society, Ministry of Education, College of Microelectronics and Communication Engineering, Chongqing University, Chongqing, China; Key Laboratory of Dependable Service Computing in Cyber Physical Society, Ministry of Education, College of Microelectronics and Communication Engineering, Chongqing University, Chongqing, China; Global Big Data Technologies Centre, University of Technology Sydney, Ultimo, NSW, Australia","IEEE Transactions on Antennas and Propagation","16 Dec 2021","2021","69","12","8271","8281","An electrically small, planar, frequency-agile, beam-switchable Huygens dipole antenna is investigated in this article. The near-field resonant parasitic (NFRP) design incorporates an Egyptian axe dipole (EAD) and a capacitively loaded loop (CLL) that function as the electric and magnetic NFRP elements, respectively. A varactor diode is integrated into each of these NFRP elements to facilitate simultaneous tuning of its operating frequency and switching its main beam direction. By changing the capacitance values of these two varactor diodes, the antenna realizes two independent, antipodal, unidirectional endfire radiating states with similar realized gain (RG) and front-to-back ratio (FTBR) values within virtually the same frequency-agile ranges. The experimental results demonstrate that the developed antenna exhibits a 5% frequency-agile fractional impedance bandwidth in both of its two oppositely directed endfire states. The antenna is electrically small at the highest frequency of this bandwidth ( ${ka}_{high} < 0.86$ ) and has measured relatively high radiation efficiency (RE >67.7%), peak RG (2.1–3.19 dBi), and FTBR (5.61–13.4 dB) values, together with stable and uniform radiation patterns, over this frequency-agile range.","1558-2221","","10.1109/TAP.2021.3090580","National Natural Science Foundation of China(grant numbers:62061006); Graduate School, Chongqing University(grant numbers:CYB20066); Chongqing Natural Science Foundation(grant numbers:cstc2019jcyjjqX0004); Australian Research Council(grant numbers:DP160102219); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9464275","Beam-switchable antennas;electrically small antennas (ESAs);frequency-agile antennas;Huygens dipole antennas (HDAs);planar antennas","Antenna measurements;Dipole antennas;Frequency measurement;P-i-n diodes;Varactors;Substrates;Capacitance","antenna radiation patterns;broadband antennas;dipole antennas;electromagnetic wave polarisation;loop antennas;varactors","varactor diode;independent endfire radiating states;antipodal endfire radiating states;unidirectional endfire radiating states;front-to-back ratio;frequency-agile range;highest frequency;beam-switchable huygens dipole antenna;near-field resonant parasitic design;Egyptian axe dipole;capacitively loaded loop;electric NFRP elements;magnetic NFRP elements;operating frequency;main beam direction;capacitance values;noise figure 5.61 dB to 13.4 dB","","4","","29","IEEE","24 Jun 2021","","","IEEE","IEEE Journals"
"Frequency Agile, Sub-wavelength, Metamaterial-inspired Huygens Dipole Antenna","L. Vincelj; S. Hrabar; R. W. Ziolkowski","Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia; Faculty of Electrical Engineering and Computing, University of Zagreb, Zagreb, Croatia; Global Big Data Technologies Centre, University of Technology Sydney, Ultimo, NSW, Australia","2022 Sixteenth International Congress on Artificial Materials for Novel Wave Phenomena (Metamaterials)","31 Oct 2022","2022","","","X-475","X-477","Near-field resonant parasitic based Huygens sources have been of special interest in many antenna applications recently. Unidirectional patterns with high directivity, high radiation efficiencies and large front-to-back-ratio values, as well as compact dimensions, have made them an attractive choice for space-limited wireless platforms. It is demonstrated with CST simulations that the frequency of operation of a sub-wavelength, metamaterial-inspired Huygens dipole antenna and, hence, its cardioid pattern, can be easily adjusted across a broad bandwidth using tunable lumped reactive elements.","","978-1-6654-6584-7","10.1109/Metamaterials54993.2022.9920708","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9920708","","Wireless communication;Dipole antennas;Capacitors;Resonant frequency;Bandwidth;Metamaterials;Broadband communication","antenna radiation patterns;dipole antennas;metamaterials;near-field communication","metamaterial-inspired Huygens dipole antenna;Huygens sources;antenna applications;unidirectional patterns;high radiation efficiencies;frequency agile Huygens dipole antenna;sub-wavelength Huygens dipole antenna;near-field resonant parasitic based Huygens sources;high directivity;large front-to-back-ratio values;compact dimensions;space-limited wireless platforms;CST simulations;cardioid pattern;broad bandwidth;tunable lumped reactive elements","","","","5","IEEE","31 Oct 2022","","","IEEE","IEEE Conferences"
"Model of Learning Management System Based on Artificial Intelligence in Team-Based Learning Framework","B. Pardamean; T. Suparyanto; T. W. Cenggoro; D. Sudigyo; A. Anugrahana; I. Anugraheni","Bioinformatics and Data Science, Research Center, Bina Nusantara University, Jakarta, Indonesia; Bioinformatics and Data Science, Research Center, Bina Nusantara University, Jakarta, Indonesia; Bioinformatics and Data Science, Research Center, Bina Nusantara University, Jakarta, Indonesia; Bioinformatics and Data Science, Research Center, Bina Nusantara University, Jakarta, Indonesia; Elementary School Teacher Education, Sanata Dharma University, Yogyakarta, Indonesia; Elementary School Teacher Education, Satya Wacana Christian University, Salatiga, Indonesia","2021 International Conference on Information Management and Technology (ICIMTech)","14 Sep 2021","2021","1","","37","42","The presence of various innovations and technology of Artificial Intelligence (AI) has now begun to be adopted by Indonesia in many aspects including in the industrial sector. The utilization of AI also can offer a new paradigm in learning and teaching strategies. The development of learning strategies continues also performed to obtain the variations of learning that involve student activity. Team-Based Learning (TBL) is one of the teaching strategies that can improve the quality of the learning process and student activity in groups. By starting to integrate digital-based learning resources in the learning and teaching process, the TBL strategy can potentially be an alternative to new learning strategies that are relevant to be applied in the era of the educational revolution 4.0. The main focus of this research is to develop and evaluate the application of AI in a digital-based TBL strategy that will be implemented in the form of personalized learning about student learning styles. This research was developed based on the learning strategy development of the research method. However, this article more focuses on developing the AI application design that will be applied. The application design was developed based on the agile development method, especially SCRUM. The result of this study is an additional feature that was implemented on a Learning Management System (LMS) based on the Modular Object-Oriented Dynamic Learning Environment (MOODLE).","","978-1-6654-4937-3","10.1109/ICIMTech53080.2021.9535088","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9535088","artificial intelligence;team-based learning;personalized learning;moodle","Learning management systems;Technological innovation;Instruments;Object oriented modeling;Education;Learning (artificial intelligence);Media","further education;learning (artificial intelligence);learning management systems;software prototyping;teaching","teaching process;digital-based TBL strategy;student learning styles;AI application design;agile development method;learning management system;modular object-oriented dynamic learning environment;artificial intelligence;team-based learning framework;industrial sector;educational revolution 4.0;SCRUM","","2","","33","IEEE","14 Sep 2021","","","IEEE","IEEE Conferences"
"Drone Swarm ""Agile Suppression"" Tactics","Y. Feng; B. Wang; Z. Li; X. Xiong",NA; NA; NA; NA,"CIBDA 2022; 3rd International Conference on Computer Information and Big Data Applications","22 Sep 2022","2022","","","1","5","Unmanned aerial vehicle (UAV) swarm, as a new quality power growth point of electronic warfare, has been widely paid attention to all over the world. This article will open innovative uav swarm combined with operational concept of ""agile suppression"", from the principle of methods, the implementation method, grasp the key points, four aspects such as the core, for example, elaborated the uav swarm ""agile suppression methods and value, the advantages of uav swarm fighting for the future research laid the theoretical basis of related, as our system of battlefield electromagnetic power advantage added.","","978-3-8007-5876-0","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9899058","","","","","","","","","","22 Sep 2022","","","VDE","VDE Conferences"
"Drone Application Model for Image Acquisition of Plantation Areas and Oil Palm Trees Counting","H. Sastrohartono; A. P. Suryotomo; S. Saifullah; T. Suparyanto; A. S. Perbangsa; B. Pardamean","Department of Agricultural Engineering, Faculty of Agricultural Technology, Instiper Yogyakarta, Yogyakarta, Indonesia; Department of Informatics, Universitas Pembangunan Nasional Veteran Yogyakarta, Yogyakarta, Indonesia; Department of Informatics, Universitas Pembangunan Nasional Veteran Yogyakarta, Yogyakarta, Indonesia; Bioinformatics and Data Science Research Center Bina Nusantara University, Jakarta, Indonesia; Information Systems Department, School of Information Systems Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, BINUS Graduate Program - Master of Computer Science Bina Nusantara University, Jakarta, Indonesia","2022 International Conference on Information Management and Technology (ICIMTech)","21 Oct 2022","2022","","","167","171","The area of oil palm plantations in Indonesia increased by 7% from 14 million ha in 2017 to 15 million ha in 2021. The vast land requires the support of effective and efficient management techniques to maintain sustainable productivity. The high-performance computing technologies, Internet of Things (IoT), Big Data, Artificial Intelligence, spatial modeling, and drones are the answers to these needs. This study aims to design an application that can obtain plantation image data and analyze the calculation of the number of oil palm trees. The image of oil palm plantations is obtained from processing photo data from drones through a mosaic and composite process. This study also employed Scrum and UML as a system model development method. The image of the oil palm plantation area is used to build a tree counting model using the Viola-Jones algorithm. The oil palm tree count information generated by this system can then be used by management for fertilizing, harvesting, and monitoring the condition of oil palm trees.","","978-1-6654-5090-4","10.1109/ICIMTech55957.2022.9915223","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9915223","drone;oil palm;Viola-Jones;tree counting;Scrum;UML","Productivity;Oils;Unified modeling language;Transportation;Packaging;Spatial databases;Internet of Things","agriculture;crops;geophysical image processing;image classification;Internet of Things;renewable materials;vegetation;vegetation mapping","plantation image data;oil palm plantations;photo data;drones;system model development method;oil palm plantation area;oil palm tree count information;drone application model;image acquisition;plantation areas;oil palm trees counting;14 million ha;15 million ha;effective management techniques;efficient management techniques;high-performance computing technologies;Big Data;spatial modeling","","","","31","IEEE","21 Oct 2022","","","IEEE","IEEE Conferences"
"A Way of Students' Ability Cultivation of ”Five-one” for Software Engineering Major under Background of New Engineering","J. Yu; Y. Mei; J. Zhang; D. Zhang; Y. Chen; C. Zhu; N. Wu; L. Zhu","College of Computer Engineering, Anhui Sanlian University, Hefei, China; College of Computer Engineering, Anhui Sanlian University, Hefei, China; College of Computer Engineering, Anhui Sanlian University, Hefei, China; College of Computer Engineering, Anhui Sanlian University, Hefei, China; College of Computer Engineering, Anhui Sanlian University, Hefei, China; College of Computer Engineering, Anhui Sanlian University, Hefei, China; College of Computer Engineering, Anhui Sanlian University, Hefei, China; College of Computer Engineering, Anhui Sanlian University, Hefei, China","2020 International Conference on Big Data and Informatization Education (ICBDIE)","28 Jul 2020","2020","","","178","181","Based on the individualized development of students for software engineering major under background of new engineering education, a possible way of students' ability cultivation of “Five-one” is put forward. As a case study of Anhui Sanlian University, from the three levels of interest and hobby, practical ability, and scientific research expansion to construct of the framework of “Five-one” on students' ability cultivation, and good results on implementation are achieved. Finally, further work is expected in the future. Firstly, a sustainable agile curriculum selecting system should be developed soon. Secondly, a platform for innovative practice should be established based on Outcomes-Based Education (OBE) by the form of school-enterprise cooperation.","","978-1-7281-5900-3","10.1109/ICBDIE50010.2020.00047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9150172","new engineering;software engineering;ability cultivatio;Five-one;agile;Outcomes-Based Education(OBE)","Software engineering;Engineering education;Technological innovation;Software;Training;Writing","computer science education;educational courses;educational institutions;engineering education;innovation management;software engineering","software engineering major;engineering education;students ability cultivation;Anhui Sanlian University;sustainable agile curriculum selecting system;outcomes-based education;school-enterprise cooperation","","3","","15","IEEE","28 Jul 2020","","","IEEE","IEEE Conferences"
"Towards Agile Integration: Specification-based Data Alignment","C. Giossi; D. Maier; K. Tufte; E. Gall; M. Barnes","Dept. of Computer Science, Portland State University, Portland, OR; Dept. of Computer Science, Portland State University, Portland, OR; Dept. of Computer Science, Portland State University, Portland, OR; Dept. of Mechanical Engineering, Portland State University, Portland, OR; Dept. of Computer Science, Portland State University, Portland, OR","2020 IEEE 21st International Conference on Information Reuse and Integration for Data Science (IRI)","10 Sep 2020","2020","","","333","340","Utilizing data sets from multiple domains is a common procedure in scientific research. For example, research on the performance of buildings may require data from multiple sources that lack a singular standard for data reporting. The Building Management System might report data at regular 5minute intervals, whereas an air-quality sensor might capture values only when there has been significant change from the previous value. Many systems exist to help integrate multiple data sources into a single system or interface. However, such systems do not necessarily make it easy to modify an integration plan, for example, to accommodate data exploration, new and changing data sets or shifts in the questions of interest. We propose an agile data-integration system to enable quick and adaptive analysis across many data sets, concentrating initially on the data alignment step: combining data values from multiple time-series based data sets whose time schedules. To this end, we adopt a Domain Specific Language approach where we construct a domain model for alignment, provide a specification language for describing alignments in the model and implement an interpreter for specification in that language. Our implementation exploits a rank-based join in SQL that produces faster alignment times than the commonly suggested method of aligning data sets in a database. We present experiments to demonstrate the advantage of our method and exploit data properties for optimization.","","978-1-7281-1054-7","10.1109/IRI49571.2020.00055","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9191394","data integration;time series;data alignment","Schedules;Buildings;Databases;Temperature measurement;Task analysis;Ventilation;Data integration","building management systems;data analysis;data structures;formal specification;scheduling;sensors;specification languages;SQL;time series","data properties;agile integration;specification-based data alignment;scientific research;data reporting;building management system;air-quality sensor;multiple data sources;integration plan;data sets;agile data-integration system;data alignment step;data values;multiple time-series;Domain Specific Language approach;specification language;time 5.0 min","","","","9","IEEE","10 Sep 2020","","","IEEE","IEEE Conferences"
"On the Relationship Between Organizational Structure Patterns and Architecture in Agile Teams","D. A. Tamburri; R. Kazman; H. Fahimi","Jheronimus Academy of Data Science, Eindhoven University of Technology, Eindhoven, The Netherlands; SEI-CMU, Hawaii University, Honolulu, HI, USA; CGI Corp., Rotterdam, The Netherlands","IEEE Transactions on Software Engineering","6 Jan 2023","2023","49","1","325","347","Forming members of an organisation into coherent groups or teams is an important issue in any large-scale software engineering endeavour, especially so in agile software development where teams rely heavily on self-organisation and organisational flexibility. But is there a recurrent organisational structure pattern in agile software engineering teams? and if so what does that pattern imply, in terms of software architecture quality? We address these questions using mixed-methods research in industry featuring interviews, surveys, and Delphi studies of real agile teams. In our study of 30 agile software teams we found that, out of seven organisational structure patterns that recur across our dataset, a single organisational pattern occurs over 37% of the time. This pattern: (a) reflects young communities (1-12 months old); (b) disappears in established ones (13+ months); and (c) reflects the highest number of architecture smells reported. Finally, we observe a negative correlation between a proposed organisational measure and architecture smells. On the one hand, these insights may serve to aid architects in designing not only their architectures but also their communities to best support their co-evolution. On the other hand, we observe that organisational structures in software engineering influence much more than simply software architectures, and we expect our results to lay the foundations of more structured and rigorous approaches to organisational structure studies and use in software engineering research and practice.","1939-3520","","10.1109/TSE.2022.3150415","European Commission(grant numbers:825480); Horizon 2020 Framework Programme; SODALITE; National Science Foundation(grant numbers:CCF-1817267); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9712241","Software organisational structures;human aspects in software engineering;social software engineering;empirical software engineering;industrial mixed-methods research","Organizational aspects;Computer architecture;Software architecture;Software;Social networking (online);Organizations;Periodic structures","object-oriented programming;software architecture;software development management;software maintenance;software prototyping;software quality;team working","agile software development;agile software engineering teams;Delphi studies;large-scale software engineering endeavour;recurrent organisational structure pattern;single organisational pattern;software architecture quality","","","","105","CCBYNCND","11 Feb 2022","","","IEEE","IEEE Journals"
"Developing a Virtual Smart Total Learning Environment for Future Teaching-Learning System","M. A. Akour; A. Das","A’Sharqiyah University, Sultanate, Oman; Cotton University, India","2020 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)","8 Mar 2021","2020","","","576","579","The world of education system after this COVID19 pandemic will have to change its dimension to map the needs of learners. The proposed framework is focused on transforming the learning experience into two possible ways like online and on-campus learning through groundbreaking & agile methodologies. The new interfaces for learners will be included like Gamification, animated tutorial etc. The framework designed here is the outcome of the e-learning experiences of the authors and it tries to add all relevant technologies with cutting-edge research to provide inspirational and transformative knowledge to learners of all ages, social status, communities who form worldwide communities of special-learners. It will rise to the occasion to use its open source technology along with the emerged technologies like IoT, 5G etc, to transcend physical and social borders. This framework is a total learning environment as it will incorporate all possible latest technologies like big data and machine learning. The e-learning system possesses features like personalized e-learning, anomaly detection, student performance monitoring, dynamic content preparations, students' satisfaction monitoring etc. The new framework will include big data, cloud applications, machine learning and artificial intelligence to make the system faster, efficient and smart. The new features will make the e-learning system based on Virtual Smart Total Learning Environment (VSTLE) more technologically sound and efficient in processing, predicting, evaluating and making storage backup. This framework is designed in such a way that the minimum human intervention will be needed for its functioning. As a result, the final output will be more accurate as compared to other e-learning systems available.","2470-6698","978-1-7281-6942-2","10.1109/TALE48869.2020.9368373","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9368373","smart;virtual;learning-environment;machine learning;big data;adaptive learning","Electronic learning;Pandemics;Education;Machine learning;Tutorials;Big Data;Monitoring","computer aided instruction;Internet;learning (artificial intelligence);teaching","education system;learning experience;e-learning experiences;relevant technologies;special-learners;open source technology;total learning environment;big data;machine learning;personalized e-learning;teaching-Learning system;Virtual Smart Total Learning Environment;anomaly detection;student performance monitoring;dynamic content preparations","","1","","12","IEEE","8 Mar 2021","","","IEEE","IEEE Conferences"
"Design-Computational Thinking, Transfer and Flavors of Reuse: Scaffolds to Information and Data Science for Sustainable Systems in Smart Cities","C. -S. Lee; K. D. Wong","Sunway University, Universiti Tunku Abdul Rahman, Malaysia; Daniel Wireless Software Pte. Ltd., Singapore, Singapore","2018 IEEE International Conference on Information Reuse and Integration (IRI)","6 Aug 2018","2018","","","225","228","This paper investigates how to increase understanding of design and sustainable systems by scaffolding cognitive access and transfer of learning using eclectic approaches to experiment with networks of design potentials. Cognitive access simulates multi-criteria case indexing, refined from knowledge induction derived from analyses of random but related cases based on search strategies. Randomization of the search space encourages emergence of heuristic solutions, fuzzy though informed transfers and further refinement of schema. We investigate the type of navigational structures/design resulting from creative reuse/refactoring and lean management; and whether there will be evidences of knowledge induction from randomized search scaffolded by Case-based Reasoning (CBR), which leads to heuristic transfer and learning. Examples from two courses carried out August-December 2017 within the participatory design-agile framework for engagement in Smart Cities are assessed for creative reuse regarding: a) people, process and tools; b) domain engineering; c) component mining and d) open source vs. systematic reuse. Findings confirm longitudinal insights: CBR-informed but emergent search leading to more efficient and higher quality heuristic transfer and learning is scaffolded by systemic modelling and design dependent on four factors.","","978-1-5386-2659-7","10.1109/IRI.2018.00040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8424711","Technology and Engineering Management;design centering;Project management;creativity;reuse, integration","Creativity;Information systems;Tools;Project management;Navigation;Systematics;Smart cities","case-based reasoning;data mining;smart cities;sustainable development","design-computational thinking;sustainable systems;eclectic approaches;knowledge induction;search strategies;randomization;search space;heuristic solutions;informed transfers;lean management;randomized search;learning;participatory design-agile framework;systematic reuse;systemic modelling;smart cities;case-based reasoning;multicriteria case indexing;navigational structures;CBR","","4","","25","IEEE","6 Aug 2018","","","IEEE","IEEE Conferences"
"Toward Automatized Handling of Future Agile Networks Employing Various Optical Switching Functionalities","K. Ishii; S. Namiki","National Institute of Advanced Industrial Science and Technology (AIST), Tsukuba, Japan; National Institute of Advanced Industrial Science and Technology (AIST), Tsukuba, Japan","2019 24th OptoElectronics and Communications Conference (OECC) and 2019 International Conference on Photonics in Switching and Computing (PSC)","29 Aug 2019","2019","","","1","3","Various optical switch systems will be required to support future wide application network areas having different requirements. A bottom-up modeling approach which will realize a common platform for automatized operation of physical layer is discussed.","","978-4-88552-321-2","10.23919/PS.2019.8818061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8818061","Photonic Networking/Switching System Designs and Architectures for Computing and Big Data;Software defined networking (SDN) for computing and big data control","Optical switches;Optical filters;Optical fiber networks;Optical reflection;Optical fibers","optical fibre networks;optical switches","automatized handling;optical switching functionality systems;bottom-up modeling approach","","","","32","","29 Aug 2019","","","IEEE","IEEE Conferences"
"Comparative Analysis of Machine Learning Techniques in Effort Estimation","Ritu; Y. Garg","Guru Nanak Dev Engineering College, Ludhiana, Punjab, India; Department of Computer Science & Engineering, APEX Institute of Technology, Chandigarh University, Mohali, Punjab, India","2022 International Conference on Machine Learning, Big Data, Cloud and Parallel Computing (COM-IT-CON)","15 Aug 2022","2022","1","","401","405","In Software engineering effort estimation provides an important role for software development and managing project cost, quality, and time. Since last decades, software estimation has been receiving significant attention from researchers and substantial research has been performed using various techniques and algorithms of machine learning. This paper suggests different machine learning techniques such as Naïve Bayes, Random Forests Logistic Regression, stochastic gradient boosting, decision tree, and story point for estimation to assess prediction more efficiently. Nowadays uses of these approaches by software development industries for software estimation aim to tackle deficiencies of parametric and traditional estimation techniques, rise project. A comparative study of the mentioned techniques is presented and examined in this paper to critically evaluate the performance of these techniques.","","978-1-6654-9602-5","10.1109/COM-IT-CON54601.2022.9850592","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9850592","Effort;efficiency;software;estimation;techniques","Software algorithms;Estimation;Machine learning;Parallel processing;Prediction algorithms;Software;Scrum (Software development)","Bayes methods;decision trees;financial data processing;learning (artificial intelligence);regression analysis;software cost estimation;software engineering","mentioned techniques;comparative analysis;Software engineering effort estimation;managing project cost;substantial research;Naïve Bayes;Random Forests Logistic Regression;stochastic gradient boosting;software development industries;software estimation aim;parametric estimation techniques;traditional estimation techniques","","","","40","IEEE","15 Aug 2022","","","IEEE","IEEE Conferences"
"Integration of Machine Learning in Agile Supply Chain Management","V. Ghabak; A. Seetharaman","Business Administration, SP Jain School of Global Management, Mumbai, India; Business Administration, SP Jain School of Global Management, Singapore","2023 15th International Conference on Computer and Automation Engineering (ICCAE)","3 May 2023","2023","","","6","12","One essential component of any manufacturing industry's success is a successful supply chain. Customer expectations have increased due to the quick growth of information and communication technologies, which has also made the world more competitive. Global production and manufacturing have now transitioned to Industry 4.0. The ""Internet of Things,"" ""Big Data,"" and ""Artificial Intelligence"" are the dominant digital technologies in this. Consequently, in the near future, supply chain management (SCM) will manage not only the flow of raw materials, semi-finished goods, finished goods, and services from the manufacturer to the customer, but also the flow of the most recent data for current and future supply chain visibility & sustainability. For this many companies around the world have tapped one of the advanced technique - Machin Learning (ML) for early risk identification & management, material planning & forecasting, raw material price forecasting etc. As a result, purpose of this paper is to explain a conceptual framework which illuminates factors influencing integration of Machin learning (ML) in Agile Supply chain management, its benefits, and challenges to implement.","2154-4360","979-8-3503-9622-5","10.1109/ICCAE56788.2023.10111340","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10111340","machine learning;agile supply chain management;industry 4.0;supply chain risk management;advanced technologies","Analytical models;Supply chain management;Supply chains;Machine learning;Companies;Predictive models;Big Data","","","","","","42","IEEE","3 May 2023","","","IEEE","IEEE Conferences"
"Smart Factory Production and Operation Management Methods based on HCPS","J. Yu; Y. Sun; W. Zheng; X. Zhou","School of Management and Engineering, Nanjing University, Nanjing, China; School of Management and Engineering, Nanjing University, Nanjing, China; School of Management and Engineering, Nanjing University, Nanjing, China; School of Management and Engineering, Research Center for Novel Technology of Intelligent Equipment, Nanjing University, Nanjing, China","2020 IEEE International Conference on Networking, Sensing and Control (ICNSC)","4 Nov 2020","2020","","","1","6","The human-cyber-physical system (HCPS) is a composite intelligent system comprising humans, cyber systems, and physical systems with the aim of achieving specific manufacturing goals at an optimized level. Smart factory is an important carrier of a new-generation intelligent manufacturing. In order to achieve the comprehensive collaboration of human-machine-thing and other elements in the smart factory, the HCPS is introduced to the smart factory in this paper. Firstly, a smart factory model is constructed based on human-cyber-physical (HCPS). Then, according to the characteristics of big data, Internet-of-Things(IoT) and artificial intelligence(AI), the management methods of smart factory is proposed, including production design, resource intelligent management and knowledge discovery. Finally, a guiding technology architecture of human-centered smart factory production and operation management is given. The smart factory based on HCPS is of great significance to realize the full use of various resources, and agile management.","","978-1-7281-6855-5","10.1109/ICNSC48988.2020.9238110","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9238110","Human-cyber-physical system;Smart Factory;Production and Operation;Management Methods","Collaboration;Production;Knowledge discovery;Dynamic scheduling;Sensors;Optimization;Smart manufacturing","Big Data;cyber-physical systems;data mining;factory automation;intelligent manufacturing systems;Internet of Things;production engineering computing;production facilities","HCPS;cyber systems;physical systems;resource intelligent management;knowledge discovery;human-centered smart factory production;human-cyber-physical system;composite intelligent system;operation management;manufacturing goals;new-generation intelligent manufacturing;human-machine-thing;Big Data;Internet-of-Things;IoT;artificial intelligence;production design;technology architecture;agile management","","1","","23","IEEE","4 Nov 2020","","","IEEE","IEEE Conferences"
"AGV Congestion Avoidance using Threshold-modulating Oscillator in Cellular Manufacturing","T. Itou; H. Wakayama; K. Konishi; K. Tadano; Y. Maenol; M. Ogawa","Data Science Research Laboratories, NEC Corporation, Kanagawa, Japan; Data Science Research Laboratories, NEC Corporation, Kanagawa, Japan; Dept. of Electrical and Information Systems, Osaka Prefecture University, Osaka, Japan; Data Science Research Laboratories, NEC Corporation, Kanagawa, Japan; Data Science Research Laboratories, NEC Corporation, Kanagawa, Japan; Data Science Research Laboratories, NEC Corporation, Kanagawa, Japan","2018 IEEE 23rd International Conference on Emerging Technologies and Factory Automation (ETFA)","25 Oct 2018","2018","1","","975","982","Control of automated guided vehicles (AGVs) for avoiding congestion must be stable and adaptive in agile production such as cellular manufacturing. In this study, we propose a flexible AGV-dispatch algorithm based on the synchronization phenomenon of a coupled oscillators. The dynamics of a production system is formulated as that of relaxation oscillators. Through controlling the threshold of the relaxation oscillators, the proposed algorithm can synchronize AGV-dispatch timing even with fluctuating production speeds. Phase-plane analysis is applied to investigate the qualitative behavior of the dynamical system the algorithm. In addition, through numerical simulation, we demonstrate that our AGV-dispatch algorithm can improve the congestion index of AGVs by 30%.","1946-0759","978-1-5386-7108-5","10.1109/ETFA.2018.8502643","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8502643","","Workstations;Synchronization;Oscillators;Heuristic algorithms;Cellular manufacturing","automatic guided vehicles;cellular manufacturing;collision avoidance;dispatching;industrial robots;numerical analysis","coupled oscillators;production system;relaxation oscillators;AGV-dispatch timing;production speeds;phase-plane analysis;dynamical system;congestion index;AGV congestion avoidance;threshold-modulating oscillator;cellular manufacturing;automated guided vehicles;agile production;flexible AGV-dispatch algorithm;synchronization phenomenon;numerical simulation;congestion avoidance","","1","","23","IEEE","25 Oct 2018","","","IEEE","IEEE Conferences"
