entry,database,title,abstract,author_keywords,authors,authors_affiliations,publication_year,source_title,publisher,url,doi,query_date,processing_date,sanitized_title,duplicated_exclusion_flag,duplicated_validation_date,metadata_exclusion_flag,metadata_validation_date,fulltext_exclusion_flag,fulltext_validation_date
173,ieeex,AD4ML: Axiomatic Design to Specify Machine Learning Solutions for Manufacturing,"Machine learning is increasingly adopted in manufacturing use cases, e.g., for fault detection in a production line. Each new use case requires developing its own machine learning (ML) solution. A ML solution integrates different software components to read, process, and analyze all use case data, as well as to finally generate the output that domain experts need for their decision-making. The process to design a system specification for a ML solution is not straight-forward. It entails two types of complexity: (1) The technical complexity of selecting combinations of ML algorithms and software components that suit a use case; (2) the organizational complexity of integrating different requirements from a multidisciplinary team of, e.g., domain experts, data scientists, and IT specialists. In this paper, we propose several adaptations to Axiomatic Design in order to design ML solution specifications that handle these complexities. We call this Axiomatic Design for Machine Learning (AD4ML). We apply AD4ML to specify a ML solution for a fault detection use case and discuss to what extent our approach conquers the above-mentioned complexities. We also discuss how AD4ML facilitates the agile design of ML solutions.",manufacturing;machine-learning;design,A. G. V. Zacarias; R. Ghabri; P. Reimann,"University of Stuttgart, GSaME, Stuttgart, Germany; University of Stuttgart, IPVS, Stuttgart, Germany; University of Stuttgart, GSaME, Stuttgart, Germany",2020.0,2020 IEEE 21st International Conference on Information Reuse and Integration for Data Science (IRI),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9191629,10.1109/IRI49571.2020.00029,20230520-160000,20230521-044735,"['ad4ml:', 'axiomatic', 'design', 'to', 'specify', 'machine', 'learning', 'solutions', 'for', 'manufacturing']",False,20230521-205332,,,,
174,ieeex,Digital Transformation Impact Analysis towards Transition in the Role of Information Technology for Organization in New Digital Bank,"The role of Information Technology in the banking industry has been playing an important role in providing better services to customers and open new opportunities. Bank XYZ is a conventional bank that is transforming into a digital bank to improve bank XYZ's position in financial services sector, specifically in the banking industry. In the process of transforming into digital banking, Information Technology leadership in the organization is important. However, publications regarding the impact of digital transformation in Information Technology role and leadership, especially in the banking industry are scarce, so this research is importance. The benefit of this research is to be organization consideration for designing corporate information strategy & management and can be a reference and contribution of ideas that can enrich knowledge and further research about corporate information strategy & management. This study aims to identify digital transformation impact in IT role and leadership specifically in new digital bank. Qualitative approach with data collection from semi-structured interviews and document was used to identify the impact of digital transformation towards transition in the role of information technology and do benchmarking Bank XYZ's case with a few new digital banks in the world. Based on the comparison and benchmarking, learned lesson as an input for Bank XYZ to improve the digital transformation process into a digital bank. Integrated big data, agile team, automation process, cloud computing, machine learning, and artificial intelligence was the common capability of a digital bank.",Digital Bank;Digital Transformation;Leadership;Role of Information Technology;Strategic,Y. P. Sagala; M. A. Juniawan; V. A. Effendy; R. Putrianasari; W. Nuraini; V. A. Rahmatika; M. R. Shihab; B. Ranti,"Faculty of Computer Science, University of Indonesia, Jakarta, Indonesia; Faculty of Computer Science, University of Indonesia, Jakarta, Indonesia; Faculty of Computer Science, University of Indonesia, Jakarta, Indonesia; Faculty of Computer Science, University of Indonesia, Jakarta, Indonesia; Faculty of Computer Science, University of Indonesia, Jakarta, Indonesia; Faculty of Computer Science, University of Indonesia, Jakarta, Indonesia; Faculty of Computer Science, University of Indonesia, Jakarta, Indonesia; Faculty of Computer Science, University of Indonesia, Jakarta, Indonesia",2022.0,2022 Seventh International Conference on Informatics and Computing (ICIC),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10007003,10.1109/ICIC56845.2022.10007003,20230520-160000,20230521-044735,"['digital', 'transformation', 'impact', 'analysis', 'towards', 'transition', 'in', 'the', 'role', 'of', 'information', 'technology', 'for', 'organization', 'in', 'new', 'digital', 'bank']",False,20230521-205332,,,,
175,ieeex,Blockchain as a Service for Software Defined Networks: A Denial of Service Attack Perspective,"Software defined networking (SDN) is one of the most popular network technologies which provides an adaptive, agile and flexible network management and visibility. Although SDN architecture provides manifold benefits but on the same time its dependence on a logically centralized controller lead to the single point of failure. An attacker can easily capture the any forwarding device and restrict the availability of the controller using different prevalent attacks. Distributed denial of service (DDoS) is one of the most popular attack of this category which is quiet prevalent in SDN. Here, the aim of the attackers is to inject false script in the open flow tables through malicious switches which multiply exponentially. Therefore, in this paper, a blockchain as a service framework has been presented wherein BlockSDSec model is designed to provide security as a separate service for the SDN architecture. This work provides a mechanism to prevent the threats of DDoS at the switch level by embedding an security using blockchain onto the interaction channels of data and control planes. The load balancing at the controller level is achieved using a virtual controller. The proposed scheme is simulated using MiniNet Emulator to analyze the delay originating from usage of blockchain.","Blockchain, Distributed Denial of Service, Malicious Switch, Software Defined Networks, MiniNet",A. Bose; G. S. Aujla; M. Singh; N. Kumar; H. Cao,"Computer Science and Engineering Department, Chandigarh University, Mohali, India; Computer Science and Engineering Department, Chandigarh University, Mohali, India; Computer Science and Engineering Department, Chandigarh University, Mohali, India; Computer Science and Engineering Department, Thapar Institute of Engineering and Technology, Patiala, India; Key Lab of Broadband Wireless Communication and Sensor Network Technology, Nanjing University of Posts and Telecommunications, Nanjing, China",2019.0,"2019 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)",IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8890267,10.1109/DASC/PiCom/CBDCom/CyberSciTech.2019.00166,20230520-160000,20230521-044735,"['blockchain', 'as', 'a', 'service', 'for', 'software', 'defined', 'networks:', 'a', 'denial', 'of', 'service', 'attack', 'perspective']",False,20230521-205332,,,,
176,ieeex,Predicting Visitor Distribution for Large Events in Smart Cities,"The prediction of the distribution of visitors in large events is a valuable piece of information in the context of smart cities. The organizers of large events leverage it for safety and coordination purposes and the Fog computing infrastructures for cost effective, agile and reliable allocation of the mobile apps and festival services workload along the continuum from edge devices to cloud. In this research we examine two sets of supervised Machine Learning techniques in order to predict the visitors' distribution in the next timesteps and evaluate them using real data from a large music event that took place in 2017 and 2018. To enrich the feature space of the predictive models we use and evaluate open data such as the weather and the popularity of artists. A further added value of the examined Machine Learning techniques, in comparison with the current state of the art in mobility prediction, is that they look into the phenomenon of visitors coming and going from the area of interest.",Smart Cities;Large Events;Fog Computing;Open Data;Points of Interest;Classification;Regression,J. Violos; S. Pelekis; A. Berdelis; S. Tsanakas; K. Tserpes; T. Varvarigou,"Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; Informatics and Telematics, Harokopio University of Athens, Athens, Greece; Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece",2019.0,2019 IEEE International Conference on Big Data and Smart Computing (BigComp),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8679181,10.1109/BIGCOMP.2019.8679181,20230520-160000,20230521-044735,"['predicting', 'visitor', 'distribution', 'for', 'large', 'events', 'in', 'smart', 'cities']",False,20230521-205332,,,,
177,ieeex,Neighbor Library-Aware Graph Neural Network for Third Party Library Recommendation,"Modern software development has moved toward agile growth and rapid delivery, where developers must meet the changing needs of users instantaneously. In such a situation, plug-and-play Third-Party Libraries (TPLs) introduce a considerable amount of convenience to developers. However, selecting the exact candidate that meets the project requirements from the countless TPLs is challenging for developers. Previous works have considered setting up a personalized recommender system to suggest TPLs for developers. Unfortunately, these approaches rarely consider the complex relationships between applications and TPLs, and are unsatisfactory in accuracy, training speed, and convergence speed. In this paper, we propose a new end-to-end recommendation model called Neighbor Library-Aware Graph Neural Network (NLA-GNN). Unlike previous works, we only initialize one type of node embedding, and construct and update all types of node representations using Graph Neural Networks (GNN). We use a simplified graph convolution operation to alternate the information propagation process to increase the training efficiency and eliminate the heterogeneity of the app-library bipartite graph, thus efficiently modeling the complex high-order relationships between the app and the library. Extensive experiments on large-scale real-world datasets demonstrate that NLA-GNN achieves consistent and remarkable improvements over state-of-the-art baselines for TPL recommendation tasks.",Third-Party Library (TPL);TPL recommendation;Graph Neural Network (GNN);bipartite graph,Y. Jin; Y. Zhang; Y. Zhang,"School of Artificial Intelligence and Big Data, Hefei University, Hefei, China; School of Computer Science and Technology, Anhui University, Hefei, China; School of Computer Science and Technology, Anhui University, Hefei, China",2023.0,Tsinghua Science and Technology,TUP,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10011160,10.26599/TST.2022.9010042,20230520-160000,20230521-044735,"['neighbor', 'library-aware', 'graph', 'neural', 'network', 'for', 'third', 'party', 'library', 'recommendation']",False,20230521-205332,,,,
178,ieeex,Human as a Service: Towards Resilient Parking Search System With Sensorless Sensing,"The high demand for ubiquitous availability of reliable parking spaces in cities faces challenges on timely information sharing and low-cost infrastructure deployment. In this paper, we propose a mobile crowdsensing system, namely ParkHop, to aggregate on-street and roadside parking space information through sensorless sensing, and disseminate this information to urban drivers in a resilient manner. ParkHop targets special social groups that have stable work routines to serve as crowd workers. We propose a crowdsensing algorithm employing a joint estimator to process crowdsensed data, and evaluate the reliability of crowd workers based on the veracity of their answers to a series of control questions. In addition, the specific worker selection method to speed up the crowdsensing process and incentive scheme to achieve fair reward distribution have been carefully designed in ParkHop. Our system disseminates the availability of parking spaces and their up-to-date price information to drivers with on-demand needs via a publish-subscribe messaging pattern. The efficacy of ParkHop for aggregation and dissemination of parking space information has been evaluated in both real-world tests and simulations. Our results show the system is robust and agile enough to cope with different crowdsensing scenarios.",Sensorless sensing;mobile crowdsensing;resilient system;user reliability;smart parking,D. Wu; Z. Zeng; F. Shi; W. Yu; T. Wu; Q. Liu,"Key Laboratory for Embedded and Network Computing of Hunan Province, Hunan University, Changsha, China; Key Laboratory for Embedded and Network Computing of Hunan Province, Hunan University, Changsha, China; Department of Computing, Imperial College London, London, U.K.; Department of Computer Science, University of Warwick, Coventry, U.K.; Hunan Key Laboratory of Geospatial Big Data Mining and Application, Hunan Normal University, Changsha, China; Department of Computer Science, The University of Texas at Austin, Austin, TX, USA",2022.0,IEEE Transactions on Intelligent Transportation Systems,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9658308,10.1109/TITS.2021.3133713,20230520-160000,20230521-044735,"['human', 'as', 'a', 'service:', 'towards', 'resilient', 'parking', 'search', 'system', 'with', 'sensorless', 'sensing']",False,20230521-205332,,,,
179,ieeex,An End-to-End Recommendation System for Urban Traffic Controls and Management Under a Parallel Learning Framework,"A paradigm shift towards agile and adaptive traffic signal control empowered with the massive growth of Big Data and Internet of Things (IoT) technologies is emerging rapidly for Intelligent Transportation Systems. Generally, an adaptive signal control system fine-tunes signal timing parameters based on pre-defined control hyperparameters using instantaneous traffic detection information. Once traffic pattern changes, those hyperparameters (e.g., maximum and minimum green times) need to be adjusted according to the evolution of traffic dynamics over a very short-term period. Such adjustment processes are usually conducted by professional and experienced traffic engineers. Here we present a human-in-the-loop parallel learning framework and its utilization in an end-to-end recommendation system that mimics and enhances professional signal control engineers' behaviors. The system has been deployed into a real-world application for an extended period in Hangzhou, China, where signal control hyperparameters are recommended based on large-scale multidimensional traffic datasets. Experimental evaluations demonstrate significant improvements in traffic efficiency through the use of our signal recommendation system.",Intelligent traffic control;traffic signal control;parallel learning;recommendation systems;deep neural networks,J. Jin; H. Guo; J. Xu; X. Wang; F. -Y. Wang,"Enjoyor Co., Ltd., Hangzhou, China; Enjoyor Co., Ltd., Hangzhou, China; Enjoyor Co., Ltd., Hangzhou, China; State Key Laboratory for Management and Control of Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China; State Key Laboratory for Management and Control of Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China",2021.0,IEEE Transactions on Intelligent Transportation Systems,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9005386,10.1109/TITS.2020.2973736,20230520-160000,20230521-044735,"['an', 'end-to-end', 'recommendation', 'system', 'for', 'urban', 'traffic', 'controls', 'and', 'management', 'under', 'a', 'parallel', 'learning', 'framework']",False,20230521-205332,,,,
180,ieeex,Contexts Enhance Accuracy: On Modeling Context Aware Deep Factorization Machine for Web API QoS Prediction,"Service-oriented computing (SOC) promises a world of cooperating services loosely connected, constructing agile Web applications in heterogeneous environments conveniently. Web application interface (API) as an emerging technique attracts more and more enterprises and organizations to publish their deep computing functionalities and big data on the Internet, Web API has become the backbone to promote the development of SOC, thus forming the prosperous Web API economy. However, the number of available Web APIs on the Internet is massive and growing constantly, which causes the Web API overload problem. Quality of service (QoS) as an indicator is able to well differentiate the quality of Web APIs and has been widely applied for high quality Web API selection. Since testing QoS for massive Web APIs is resource-consuming, and the QoS performance depends on contextual information such as network and location, hence accurate QoS prediction has become very crucial for personalized Web API recommendation and high quality Web application construction. To address the above issue, this paper presents a context aware deep factorization machine model (CADFM for short) for accurate Web API QoS prediction. Specifically, we first carry out detailed data analysis using real-world QoS dataset and discover a positive relationship between QoS and contextual information, which motivates us to incorporate beneficial contexts for enhancing QoS prediction accuracy. Then, we treat QoS prediction as a regression problem and propose a context aware CADFM framework that integrates the contextual information via embedding technique. Particularly, we adopt MF and MLP for high-order and nonlinear interaction modeling, so as to learn the complex interaction between users and Web APIs accurately. Finally, the experimental results on real-world QoS dataset demonstrate that CADFM outperforms the classic and the state-of-the-art baselines, thereby generating the most accurate QoS predictions and increasing the revenue of Web APIs recommendation.",Service-oriented computing;Web API;quality of service prediction;context aware;deep factorization machine,L. Shen; M. Pan; L. Liu; D. You; F. Li; Z. Chen,"Colleague of Information Science and Engineering, Yanshan University, Qinhuangdao, China; Colleague of Information Science and Engineering, Yanshan University, Qinhuangdao, China; National Science Library, Chinese Academy of Sciences, Beijing, China; Colleague of Information Science and Engineering, Yanshan University, Qinhuangdao, China; College of Computer and Communication Engineering, Northeastern University, Shenyang, China; Colleague of Information Science and Engineering, Yanshan University, Qinhuangdao, China",2020.0,IEEE Access,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9189762,10.1109/ACCESS.2020.3022891,20230520-160000,20230521-044735,"['contexts', 'enhance', 'accuracy:', 'on', 'modeling', 'context', 'aware', 'deep', 'factorization', 'machine', 'for', 'web', 'api', 'qos', 'prediction']",False,20230521-205332,,,,
181,ieeex,Artificial Intelligence For Media Operations Why AI algorithms will become a must for every network management system,"Artificial intelligence already has a big impact on a lot of different segments in the media industry. With the broadcast industry moving to all-IP and data center deployments those environments are more agile and complex than ever before. With fast-evolving technologies and cycles, ever more mission critical systems and constantly changing operational practices and devops style operations, traditional network management systems (NMS) and their paradigms don't fit the bill anymore. This paper explores why machine-learning algorithms must find their way into network monitoring and management solutions to orchestrate a modern media data center dynamically and in a proactive way. The foundation for an AI-driven NMS platform is a solid big data storage architecture; a lack of profound data and data hygiene is often one of the biggest obstacles to successfully deploy big data projects. As in today's all-IP environments nothing is static anymore, an AI entity must be highly intelligent. Unsupervised learning is key to automatically adapt to changing environments. Augmented operation and a zero-configuration and zero-maintenance approach will be crucial to successfully deploy the right management strategy.",NMS;artificial intelligence;machine learning;augmented operation;forecasting;intelligent fault detection;incident detection;deep root cause analysis;advanced analytics,T. Gunkel; B. Vandenberghe,Skyline Communications; Skyline Communications,2018.0,SMPTE 2018,SMPTE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8609872,10.5594/M001813,20230520-160000,20230521-044735,"['artificial', 'intelligence', 'for', 'media', 'operations', 'why', 'ai', 'algorithms', 'will', 'become', 'a', 'must', 'for', 'every', 'network', 'management', 'system']",False,20230521-205332,,,,
182,ieeex,Competency Model for Programming Courses in Information Technology Education (ITE) Programs from Industry Perspective: A Delphi Method,"This study aimed to develop a competency model for software development courses in ITE programs as perceived by the IT industry in the Philippines in the new normal. A review of previous studies revealed existing software engineering competency models being referenced by the IT industry along with the Commission on Higher Education (CHED) General Education Curriculum (GEC) being referenced by the academe. However, things drastically changed during this global pandemic which may have affected these current standards. Thus, this study aimed to determine the current competency needs in the IT industry in the new normal in relation to the programming courses being offered by the ITE programs in the Philippines; A mixed method three-round Delphi technique was used to solicit a unified expert opinion from the point of view of nine (9) IT industry experts in the Philippines. Twenty-three (23) technical skills and eleven (11) soft skills were extracted from online interviews using thematic analysis. Out of 23 technical skills, nineteen (19) have consensus. The findings produced a competency model for software development courses in the new normal consisting of must-have technical skills, game-changer technical skills, and must-have soft skills. The must-have technical skills include Web Development, Cyber Security, Cloud Computing, Agile Project Management, Mobile Development, and DevOps. The game changer technical skills include Data Science and Data Analytics, Artificial Intelligence and Machine Learning, the Internet of Things, and Research and Development. And the must-have soft skills include Communication skills, Results-Oriented, and Collaboration skills.",competency model;Delphi method;Information Technology Education (ITE);programming courses;software development,J. E. E. Goh; C. V. Mojado; H. J. T. Manaligod,"Information Systems Program, De La Salle – College of Saint Benilde, Manila, Philippines; Information Systems Program, De La Salle – College of Saint Benilde, Manila, Philippines; Information Systems Program, De La Salle – College of Saint Benilde, Manila, Philippines",2022.0,"2022 IEEE 14th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)",IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10109471,10.1109/HNICEM57413.2022.10109471,20230520-160000,20230521-044735,"['competency', 'model', 'for', 'programming', 'courses', 'in', 'information', 'technology', 'education', '(ite)', 'programs', 'from', 'industry', 'perspective:', 'a', 'delphi', 'method']",False,20230521-205332,,,,
183,ieeex,"MosaicSim: A Lightweight, Modular Simulator for Heterogeneous Systems","As Moore's Law has slowed and Dennard Scaling has ended, architects are increasingly turning to heterogeneous parallelism and domain-specific hardware-software co-designs. These trends present new challenges for simulation-based performance assessments that are central to early-stage architectural exploration. Simulators must be lightweight to support rich heterogeneous combinations of general purpose cores and specialized processing units. They must also support agile exploration of hardware-software co-design, i.e. changes in the programming model, compiler, ISA, and specialized hardware. To meet these challenges, we introduce MosaicSim, a lightweight, modular simulator for heterogeneous systems, offering accuracy and agility designed specifically for hardware-software co-design explorations. By integrating the LLVM toolchain, MosaicSim enables efficient modeling of instruction dependencies and flexible additions across the stack. Its modularity also allows the composition and integration of different hardware components. We first demonstrate that MosaicSim captures architectural bottlenecks in applications, and accurately models both scaling trends in a multicore setting and accelerator behavior. We then present two case-studies where MosaicSim enables straightforward design space explorations for emerging systems, i.e. data science application acceleration and heterogeneous parallel architectures.",heterogeneity;hardware-software co design;performance modeling;multi-core architectures;accelerators,O. Matthews; A. Manocha; D. Giri; M. Orenes-Vera; E. Tureci; T. Sorensen; T. J. Ham; J. L. Aragon; L. P. Carloni; M. Martonosi,"Princeton University; Princeton University; Columbia University; Princeton University; Princeton University; Princeton University; Seoul National University; University of Murcia, Murcia, Spain; Columbia University; Princeton University",2020.0,2020 IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9238641,10.1109/ISPASS48437.2020.00029,20230520-160000,20230521-044735,"['mosaicsim:', 'a', 'lightweight,', 'modular', 'simulator', 'for', 'heterogeneous', 'systems']",False,20230521-205332,,,,
184,ieeex,IBM Z development transformation,"This article discusses how the product development cycle is being transformed with “Artificial Intelligence” (AI) for the first time in zSeries history. This new era of AI, under the project name IBM Z Development Transformation (zDT), has allowed the team to grow and learn new skills in data science. This transformation forces change structurally in how data is prepared and stored. In z14, there were incremental productivity gains with enhancements to automation with eServer Automation Test Solution and a technology data analysis engine called zDataAssist. However, in z15, AI will significantly accelerate our efficiency. This article explains how Design Thinking and Agile principles were used to identify areas that are of high impact and feasible to implement: 1) what and how data is collected via System Test Event Logging and Analysis engine, Problem ticket management system (Jupitr), and Processor data analysis engine (Xrings); 2) problem identification, analysis, and management (AutoJup) along with Intelligent Recovery Verification Assistant; 3) product design documentation search engine (AskTheMachine); and 4) prototype microprocessor allocation processes Intelligent Commodity Fulfillment System using Machine Learning. This article details the approach of these areas for z15, the implementation of these solutions under the zDT project, as well as the results and future work.",,E. C. McCain; P. Bastien; B. F. Belmar; B. Bhattacharya; K. K. Cheruiyot; M. Coq; R. Dartey; K. Deekaram; K. Ghadai; L. D. Lalima; J. Nettey; A. W. Owolabi; K. Phillips; T. M. Shiling; D. T. Schroeder; C. Slegel; B. Steen; D. A. Thorne; E. Venuto; J. D. Willoughby; D. Yaniv; N. Ziemis,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,2020.0,IBM Journal of Research and Development,IBM,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9138677,10.1147/JRD.2020.3008122,20230520-160000,20230521-044735,"['ibm', 'z', 'development', 'transformation']",False,20230521-205332,,,,
185,ieeex,Strategic Information System Planning in the Industry 4.0 Era: A Systematic Literature Review,"Information systems and technology have an important role in building the Company's competitive advantage in facing the Industrial Era 4.0. Strategic Information System Planning (SISP) helps companies formulate reliable information systems that are aligned with business strategies. The academic world should contribute in this regard, but currently, the amount of research related to SISP is very limited. This research is a systematic literature review, which aims to find out more about SISP research trends, research motivations and backgrounds, industries that have been handled, and the methods used in developing SISP. This research is expected to be a trigger for the emergence of new research to support the successful development of SISP in companies in various industries. The results of this research show that several topics are widely researched and need to be improved in the future, namely the alignment of IS strategies with business strategies, the development of specific SISPs in various industries, and the reliability of IS strategies by considering the application of the latest information technology, such as blockchain, artificial intelligence, big data, augmented reality, Internet of Things, and cloud computing. In addition, it is also necessary to develop a SISP framework that is more accommodating to changes in the business environment that is increasingly fast, agile, and collaborative, which includes aspects of business architecture, data/information architecture, technology architecture, information system security, governance, and human resources.",Strategic Information System Planning;SISP;IS Strategic Planning;Systematic literature review,I. Mahendra; A. Ramadhan; A. Trisetyarso; E. Abdurachman; M. Zarlis,"Computer Science Program, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bina Nusantara University, Jakarta, Indonesia",2022.0,2022 IEEE Creative Communication and Innovative Technology (ICCIT),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10119002,10.1109/ICCIT55355.2022.10119002,20230520-160000,20230521-044735,"['strategic', 'information', 'system', 'planning', 'in', 'the', 'industry', '4.0', 'era:', 'a', 'systematic', 'literature', 'review']",False,20230521-205332,,,,
186,ieeex,Guest Editorial Special Issue on Big Data and Computational Intelligence for Agile Wireless IoT,"The papers in this special section focus on Big Data and computational intelligence for agile Internet of Things (IOT) wireless networking technology. This technology is one of the main components that could empower a wide range of Internet-of-Things (IoT) applications including smart city, smart home, smart grid, e-health, smart transportation, etc. While providing an easily extensible solution for information exchange, wireless networks also have brought some crucial challenges due to the unstable characteristics of wireless communications. ",,,,2020.0,IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9099340,10.1109/TETCI.2020.2990757,20230520-160000,20230521-044735,"['guest', 'editorial', 'special', 'issue', 'on', 'big', 'data', 'and', 'computational', 'intelligence', 'for', 'agile', 'wireless', 'iot']",False,20230521-205332,,,,
187,ieeex,Panel: Addressing the Shortage of Big Data Skills with Inter-Disciplinary Big Data Curriculum,"One major challenge faced by enterprises in contemporary era is the shortage of big data and analytics (BDA) professionals. These professionals possess skills to analyze and derive intelligence from big data generated by enterprises. Currently, universities and colleges have not been able to produce sufficient professionals to meet the ever-growing demand for data analytics skill sets. A possible reason for this may be the narrow focus and lack of interdisciplinary approach to big data analytics education. To address this challenge, this panel brings together practitioners, researchers and educators in big data and analytics; to explore the potentials for developing an interdisciplinary curriculum that will deliver data analytics skills to students across all other academic majors. This might help to produce more agile data analytics professionals and close the gap between demand and supply of those professionals.",Analytics;Big Data;Education;Curriculum,J. C. Nwokeji; R. Stachel; T. Holmes; F. Aqlan; E. C. Udenze; R. Orji,"Compt. & Infor. Sci. Dept, Gannon University, Erie PA, USA; School of Business, Gannon University, Erie PA, USA; School of Business, Gannon University, Erie PA, USA; Industrial Engr. Dept, Penn. State Uni, Erie PA, USA; Physical Sciences Dept, Yakima Valley College, Yakima WA, USA; Computer Science Dept, Dalhousie University, Halifax, Canada",2019.0,2019 IEEE Frontiers in Education Conference (FIE),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9028350,10.1109/FIE43999.2019.9028350,20230520-160000,20230521-044735,"['panel:', 'addressing', 'the', 'shortage', 'of', 'big', 'data', 'skills', 'with', 'inter-disciplinary', 'big', 'data', 'curriculum']",False,20230521-205332,,,,
188,ieeex,Actionable Analytics for Software Engineering,"Although intensive research on software analytics has been going on for nearly a decade, a repeated complaint in software analytics is that industrial practitioners find it hard to apply the results generated from data science. This theme issue aims to reflect on actionable analytics for software engineering and to document a catalog of success stories in which analytics has been proven actionable and useful, in some significant way, in an organization. This issue features five articles covering promising analytical methods for improving change triage, strategic maintenance, and team robustness, as well as the success stories of applying analytical tools during an organizational transformation.",actionable analytics;context-driven software engineering;software analytics;change triage;agile development;DevOps;software engineering;software development,Y. Yang; D. Falessi; T. Menzies; J. Hihn,"Stevens Institute of Technology; California Polytechnic State University, San Luis Obispo; North Carolina State University; Jet Propulsion Laboratory",2018.0,IEEE Software,IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8239931,10.1109/MS.2017.4541039,20230520-160000,20230521-044735,"['actionable', 'analytics', 'for', 'software', 'engineering']",False,20230521-205332,,,,
189,scopus,Achieving Agile Big Data Science: The Evolution of a Team's Agile Process Methodology,"While there has been a rapid increase in the use of data science and the related field of big data, there has been minimal discussion on how teams using these techniques should best plan, coordinate and communicate their activities. To help address this gap, this paper reports on a mixed method qualitative study exploring how a big data science team within a Fortune 500 organization used two different agile process methodologies. The study helps clarify the concept of agility within a big data science project, as well as the key process challenges teams encounter when executing a big data science project. Specifically, three key issues were identified: (a) the challenge in task duration estimation, (b) how to account for team members that might be pulled onto other tasks for short bursts and (c) coordination challenges across the different groups within the big data science team. Our findings help explain how different process methodologies might mitigate or exacerbate these challenges and supports previous research showing that big data science teams would benefit from an increased focus on their process methodology and that adopting an Agile Kanban methodology, which focuses on minimizing work-in-progress, could prove beneficial for many big data science teams. © 2019 IEEE.",Agile; Big Data Science; Process Methodology,"Saltz J.S., Shamshurin I.","School of Information Studies Syracuse University, Syracuse, NY, United States",2019.0,"Proceedings - 2019 IEEE International Conference on Big Data, Big Data 2019",Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081303461&doi=10.1109%2fBigData47090.2019.9005493&partnerID=40&md5=bf4c216dcc15cbc568a6a16d3f41c9e3,10.1109/BigData47090.2019.9005493,20230520-160000,20230521-044735,"['achieving', 'agile', 'big', 'data', 'science:', 'the', 'evolution', 'of', 'a', ""team's"", 'agile', 'process', 'methodology']",True,20230521-205332,,,,
